Name,Size (bytes),Type,Origin,Confidence,Priority,Inode,SHA256,MD5,Created (UTC),Modified (UTC),Accessed (UTC),Notable Reasons,Extracted Path
نص 4.txt,82,unknown,original,high,20,110,,,2026-02-11T15:39:47.995932+00:00,2026-02-11T15:39:47.995932+00:00,,recent_modification:0d,
نص 5.txt,86,unknown,original,high,20,112,,,2026-02-11T15:39:47.995935+00:00,2026-02-11T15:39:47.995935+00:00,,recent_modification:0d,
نص 6.txt,998,unknown,original,high,20,114,,,2026-02-11T15:39:47.995937+00:00,2026-02-11T15:39:47.995937+00:00,,recent_modification:0d,
كلمات الميتا ماسك.jpeg,43318,unknown,original,high,20,117,,,2026-02-11T15:39:47.995939+00:00,2026-02-11T15:39:47.995939+00:00,,recent_modification:0d,
محفظة فانتوم.txt,313,unknown,original,high,20,120,,,2026-02-11T15:39:47.995942+00:00,2026-02-11T15:39:47.995942+00:00,,recent_modification:0d,
.~.dropbox.external.writable,0,unknown,original,high,20,124,,,2026-02-11T15:39:47.995945+00:00,2026-02-11T15:39:47.995945+00:00,,recent_modification:0d,
bybit wallet.txt,76,unknown,original,high,20,127,,,2026-02-11T15:39:47.995948+00:00,2026-02-11T15:39:47.995948+00:00,,recent_modification:0d,
.~.dropbox.external.writable,0,unknown,original,high,20,131,,,2026-02-11T15:39:47.995953+00:00,2026-02-11T15:39:47.995953+00:00,,recent_modification:0d,
.~.dropbox.external.writable,0,unknown,original,high,20,137,,,2026-02-11T15:39:47.995955+00:00,2026-02-11T15:39:47.995955+00:00,,recent_modification:0d,
RamCapturer.zip,3090110,unknown,original,high,20,140,,,2026-02-11T15:39:47.995957+00:00,2026-02-11T15:39:47.995957+00:00,,recent_modification:0d,
videoplayback.mp4,218185198,unknown,original,high,30,143,,,2026-02-11T15:39:47.995959+00:00,2026-02-11T15:39:47.995960+00:00,,"recent_modification:0d, large_file",
videoplayback (1).mp4,1013555950,unknown,original,high,30,146,,,2026-02-11T15:39:47.995962+00:00,2026-02-11T15:39:47.995962+00:00,,"recent_modification:0d, large_file",
فالكونز في العلا بـ1000 ريال وبـ 100 الف ريال لمدة 24 ساعة 🔥⛰️.mp4,891249414,unknown,original,high,30,153,,,2026-02-11T15:39:47.995965+00:00,2026-02-11T15:39:47.995965+00:00,,"recent_modification:0d, large_file",
_up.mp4,891249414,unknown,original,high,30,154,,,2026-02-11T15:39:47.995970+00:00,2026-02-11T15:39:47.995970+00:00,,"recent_modification:0d, large_file",
_1.mp4,891249414,unknown,original,high,30,155,,,2026-02-11T15:39:47.995973+00:00,2026-02-11T15:39:47.995973+00:00,,"recent_modification:0d, large_file",
acquirelog.txt,88248,unknown,original,high,20,158,,,2026-02-11T15:39:47.995975+00:00,2026-02-11T15:39:47.995976+00:00,,recent_modification:0d,
Photo.jpeg.jpg,115321,unknown,original,high,20,163,,,2026-02-11T15:39:47.995978+00:00,2026-02-11T15:39:47.995978+00:00,,recent_modification:0d,
Photo.jpeg.jpg,115321,unknown,original,high,20,166,,,2026-02-11T15:39:47.995980+00:00,2026-02-11T15:39:47.995980+00:00,,recent_modification:0d,
credit card.pdf,102291,unknown,original,high,70,169,,,2026-02-11T15:39:47.995982+00:00,2026-02-11T15:39:47.995983+00:00,,"filename_keyword:credit, recent_modification:0d",
credit card.pdf,102291,unknown,original,high,70,172,,,2026-02-11T15:39:47.995986+00:00,2026-02-11T15:39:47.995986+00:00,,"filename_keyword:credit, recent_modification:0d",
_mage.png,191403,unknown,original,high,20,173,,,2026-02-11T15:39:47.995988+00:00,2026-02-11T15:39:47.995988+00:00,,recent_modification:0d,
hacker-binary-5184x3456-13679.jpg,3495637,unknown,original,high,20,177,,,2026-02-11T15:39:47.995990+00:00,2026-02-11T15:39:47.995991+00:00,,recent_modification:0d,
hacker-binary-5184x3456-13679.jpg,3495637,unknown,original,high,20,181,,,2026-02-11T15:39:47.995993+00:00,2026-02-11T15:39:47.995993+00:00,,recent_modification:0d,
monkey-d-luffy-one-piece-minimal-art-5k-8k-7680x4320-8211.png,4653217,unknown,original,high,70,187,,,2026-02-11T15:39:47.995995+00:00,2026-02-11T15:39:47.995995+00:00,,"filename_keyword:key, recent_modification:0d",
monkey-d-luffy-one-piece-minimal-art-5k-8k-7680x4320-8211.png,4653217,unknown,original,high,70,193,,,2026-02-11T15:39:47.995998+00:00,2026-02-11T15:39:47.995999+00:00,,"filename_keyword:key, recent_modification:0d",
hacker-binary-5184x3456-13679.jpg,3495637,unknown,original,high,20,197,,,2026-02-11T15:39:47.996001+00:00,2026-02-11T15:39:47.996001+00:00,,recent_modification:0d,
hacker-binary-5184x3456-13679.jpg,3495637,unknown,original,high,20,201,,,2026-02-11T15:39:47.996003+00:00,2026-02-11T15:39:47.996003+00:00,,recent_modification:0d,
mr-robot-hacker-10000x5625-15768.png,5211960,unknown,original,high,20,205,,,2026-02-11T15:39:47.996005+00:00,2026-02-11T15:39:47.996005+00:00,,recent_modification:0d,
mr-robot-hacker-10000x5625-15768.png,5211960,unknown,original,high,20,209,,,2026-02-11T15:39:47.996008+00:00,2026-02-11T15:39:47.996008+00:00,,recent_modification:0d,
gamer-gaming-room-5120x2880-17525.jpg,6809064,unknown,original,high,20,213,,,2026-02-11T15:39:47.996009+00:00,2026-02-11T15:39:47.996010+00:00,,recent_modification:0d,
gamer-gaming-room-5120x2880-17525.jpg,6809064,unknown,original,high,20,217,,,2026-02-11T15:39:47.996012+00:00,2026-02-11T15:39:47.996012+00:00,,recent_modification:0d,
lost-in-space-404-5120x2880-18155.png,1214846,unknown,original,high,20,221,,,2026-02-11T15:39:47.996014+00:00,2026-02-11T15:39:47.996014+00:00,,recent_modification:0d,
lost-in-space-404-5120x2880-18155.png,1214846,unknown,original,high,20,225,,,2026-02-11T15:39:47.996017+00:00,2026-02-11T15:39:47.996017+00:00,,recent_modification:0d,
Hostel Fees_Nawaf-GITAM_Sep 2022.pdf,174032,unknown,original,high,20,229,,,2026-02-11T15:39:47.996019+00:00,2026-02-11T15:39:47.996019+00:00,,recent_modification:0d,
Hostel Fees_Nawaf-GITAM_Sep 2022.pdf,174032,unknown,original,high,20,233,,,2026-02-11T15:39:47.996021+00:00,2026-02-11T15:39:47.996021+00:00,,recent_modification:0d,
NaWaF (1).pdf,105132,unknown,original,high,20,235,,,2026-02-11T15:39:47.996023+00:00,2026-02-11T15:39:47.996023+00:00,,recent_modification:0d,
NaWaF (1).pdf,105132,unknown,original,high,20,237,,,2026-02-11T15:39:47.996025+00:00,2026-02-11T15:39:47.996025+00:00,,recent_modification:0d,
frro registration for 2025.pdf,85706,unknown,original,high,20,241,,,2026-02-11T15:39:47.996027+00:00,2026-02-11T15:39:47.996028+00:00,,recent_modification:0d,
frro registration for 2025.pdf,85706,unknown,original,high,20,245,,,2026-02-11T15:39:47.996030+00:00,2026-02-11T15:39:47.996030+00:00,,recent_modification:0d,
_1.jpg,6809064,unknown,original,high,20,246,,,2026-02-11T15:39:47.996032+00:00,2026-02-11T15:39:47.996032+00:00,,recent_modification:0d,
_1.jpg,6809064,unknown,original,high,20,247,,,2026-02-11T15:39:47.996034+00:00,2026-02-11T15:39:47.996034+00:00,,recent_modification:0d,
_11.png,5211960,unknown,original,high,20,248,,,2026-02-11T15:39:47.996036+00:00,2026-02-11T15:39:47.996036+00:00,,recent_modification:0d,
